survey_value,conversion
coffee,coffee
paddy_irrigated,rice
paddy_rain,rice
cassava,cassava
longan,NA
maize,NA
other1,NA
mango,NA
sugar_cane,NA
rubber,NA
citrus_fruit,NA
passion_fruit,NA
plum,NA
custard_apple,NA
peach,NA
wild_apple,NA
other2,NA
