livestock_rep_number,lstk_rep_grp-livestock_name,lstk_rep_grp-livestock_label,lstk_rep_grp-live_animals-ls_no1,lstk_rep_grp-live_animals-animals_draught,lstk_rep_grp-live_animals-livestock_breeds,lstk_rep_grp-live_animals-beehive_count,lstk_rep_grp-live_animals-livestock_housing,lstk_rep_grp-livestock_buysell_group-ls_no2,lstk_rep_grp-livestock_buysell_group-livestock_bought,lstk_rep_grp-livestock_buysell_group-livestock_live_birth,lstk_rep_grp-livestock_buysell_group-livestock_sold,lstk_rep_grp-livestock_sale_income_group-ls_no3,lstk_rep_grp-livestock_sale_income_group-livestock_sale_income,lstk_rep_grp-livestock_live_who-ls_no4,lstk_rep_grp-livestock_live_who-livestock_ownership,lstk_rep_grp-livestock_live_who-livestock_who_sells,lstk_rep_grp-livestock_mortality-livestock_died,lstk_rep_grp-livestock_meat_basics-ls_no5,lstk_rep_grp-livestock_meat_basics-killed_for_meat,lstk_rep_grp-livestock_meat_group-livestock_meat_amount-ls_no6,lstk_rep_grp-livestock_meat_group-livestock_meat_amount-meat_use,lstk_rep_grp-livestock_meat_group-meat_use_proportions-ls_no7,lstk_rep_grp-livestock_meat_group-meat_use_proportions-meat_consumed_amount,lstk_rep_grp-livestock_meat_group-meat_use_proportions-meat_sell_amount,lstk_rep_grp-livestock_meat_group-meat_sold_income,lstk_rep_grp-livestock_meat_group-livestock_meat_who-ls_no8,lstk_rep_grp-livestock_meat_group-livestock_meat_who-livestock_meat_who_sells,lstk_rep_grp-livestock_meat_group-livestock_meat_who-livestock_meat_who_control_eating,lstk_rep_grp-milk_basics-ls_no9,lstk_rep_grp-milk_basics-milk_harvest,lstk_rep_grp-milk_details-milk_basic_info-ls_no10,lstk_rep_grp-milk_details-milk_basic_info-milk_number_animals_milked,lstk_rep_grp-milk_details-milk_basic_info-milk_amount_good_season,lstk_rep_grp-milk_details-milk_basic_info-milk_units,lstk_rep_grp-milk_details-milk_basic_info-milk_amount_units_other,lstk_rep_grp-milk_details-milk_basic_info-milk_amount_bad_season,lstk_rep_grp-milk_details-milk_use_basic-ls_no11,lstk_rep_grp-milk_details-milk_use_basic-milk_use,lstk_rep_grp-milk_details-dairy_products_grp-dairy_products,lstk_rep_grp-milk_details-dairy_products_grp-dairy_products_other,lstk_rep_grp-milk_details-milk_use_proportions-ls_no12,lstk_rep_grp-milk_details-milk_use_proportions-milk_dairy_amount,lstk_rep_grp-milk_details-milk_use_proportions-milk_consumed_amount,lstk_rep_grp-milk_details-milk_use_proportions-milk_sell_amount,lstk_rep_grp-milk_details-milk_sales_income-ls_no13,lstk_rep_grp-milk_details-milk_sales_income-milk_sold_income,lstk_rep_grp-milk_details-milk_sales_income-milk_sold_price_timeunits,lstk_rep_grp-milk_details-milk_sales_income-milk_amount_time_units_other,lstk_rep_grp-milk_details-milk_who_group-ls_no14,lstk_rep_grp-milk_details-milk_who_group-milk_who_sells,lstk_rep_grp-milk_details-milk_who_group-milk_who_control_eating,lstk_rep_grp-eggs_group-eggs_intro_group-ls_no15,lstk_rep_grp-eggs_group-eggs_intro_group-eggs_harvest,lstk_rep_grp-eggs_group-eggs_details-eggs_basic_info-ls_no16,lstk_rep_grp-eggs_group-eggs_details-eggs_basic_info-eggs_amount_good,lstk_rep_grp-eggs_group-eggs_details-eggs_basic_info-eggs_units,lstk_rep_grp-eggs_group-eggs_details-eggs_basic_info-eggs_amount_units_other,lstk_rep_grp-eggs_group-eggs_details-eggs_basic_info-eggs_amount_bad,lstk_rep_grp-eggs_group-eggs_details-eggs_use_basic_group-ls_no17,lstk_rep_grp-eggs_group-eggs_details-eggs_use_basic_group-eggs_use,lstk_rep_grp-eggs_group-eggs_details-eggs_use_proportions-ls_no18,lstk_rep_grp-eggs_group-eggs_details-eggs_use_proportions-eggs_consumed_amount,lstk_rep_grp-eggs_group-eggs_details-eggs_use_proportions-eggs_sell_amount,lstk_rep_grp-eggs_group-eggs_details-eggs_use_proportions-eggs_hatch_amount,lstk_rep_grp-eggs_group-eggs_details-egg_sales_income-ls_no19,lstk_rep_grp-eggs_group-eggs_details-egg_sales_income-eggs_sold_income,lstk_rep_grp-eggs_group-eggs_details-egg_sales_income-eggs_sold_price_timeunits,lstk_rep_grp-eggs_group-eggs_details-egg_sales_income-eggs_sold_price_timeunits_other,lstk_rep_grp-eggs_group-eggs_details-eggs_who_group-ls_no20,lstk_rep_grp-eggs_group-eggs_details-eggs_who_group-eggs_who_sells,lstk_rep_grp-eggs_group-eggs_details-eggs_who_group-eggs_who_control_eating,lstk_rep_grp-bee_group-honey_production-ls_no21,lstk_rep_grp-bee_group-honey_production-bees_honey_production,lstk_rep_grp-bee_group-honey_production-bees_honey_production_units,lstk_rep_grp-bee_group-honey_production-bees_honey_production_units_other,lstk_rep_grp-bee_group-honey_production-bees_honey_use,lstk_rep_grp-bee_group-bees_honey_use_proportions-ls_no22,lstk_rep_grp-bee_group-bees_honey_use_proportions-bees_honey_consumed_amount,lstk_rep_grp-bee_group-bees_honey_use_proportions-bees_honey_sell_amount,lstk_rep_grp-bee_group-honey_income_group-ls_no22,lstk_rep_grp-bee_group-honey_income_group-bees_honey_sold_income,lstk_rep_grp-bee_group-bees_who_group-ls_no23,lstk_rep_grp-bee_group-bees_who_group-bees_who_sells,lstk_rep_grp-bee_group-bees_who_group-bees_who_control_eating,PARENT_KEY,KEY
1,chicken,Chicken,,,improved,,out_all_time,,2,1,3,,584.0,,Male_Youth,Female_Youth,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:076bb740-3542-49ab-a6b2-e5efb70d76eb,uuid:076bb740-3542-49ab-a6b2-e5efb70d76eb/survey_grp/Section_Livestock/livestock_repeat[1]
1,cattle,Cattle,,2,local,,,,2,2,1,,5623.0,,Male_adult Male_Youth,Male_adult,1,,1,,use sell,,Most,UnderHalf,425.0,,Male_adult,Female_adult,,Y,,5,2.0,l/day,,1.0,,use sell,,,,,Most,Little,,53.0,year,,,Female_Youth,Female_Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:3dbc6436-45a5-438e-9213-e13fefa40eac,uuid:3dbc6436-45a5-438e-9213-e13fefa40eac/survey_grp/Section_Livestock/livestock_repeat[1]
2,chicken,Chicken,,,improved,,,,10,2,5,,500.0,,Male_adult,Male_adult,4,,2,,use,,,,,,,Female_adult,,,,,,,,,,,,,,,,,,,,,,,,,Y,,2.0,pieces/week,,1.0,,use sell,,Most,UnderHalf,,,52.0,month,,,Female_adult,Female_adult Female_Youth,,,,,,,,,,,,,,uuid:3dbc6436-45a5-438e-9213-e13fefa40eac,uuid:3dbc6436-45a5-438e-9213-e13fefa40eac/survey_grp/Section_Livestock/livestock_repeat[2]
